State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Housholds_with_Electric_Lighting,Households_with_Internet,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Sex Ratio,Literacy Rate
Kerala,Thiruvananthapuram,8.537101759082221,76.88711502868073,601,3301427,1581678,1719749,2785408,1354857,1430551,2194057,452915,630573,404,301,76,783872,71621,559293,609824,1169117,206328,460690,642470,682156,389161,381782,613196,780821,1087.0,84.0
Kerala,Thrissur,10.458932647907687,76.12321940836945,594,3121200,1480763,1640437,2678548,1282261,1396287,1823442,532839,757484,259,278,62,721625,56148,336748,715119,1051867,222627,445696,524387,821831,362657,338600,712186,727823,1108.0,86.0
Kerala,Wayanad,11.715277464788736,76.07587007042254,590,817420,401684,415736,645585,328136,317449,404460,234185,174453,61,312,1797,149864,4712,266183,11805,277988,65326,144896,137227,184266,87042,51111,146524,170170,1035.0,79.0
Madhya Pradesh,Anuppur,23.18184220430107,81.86560000000007,461,749237,379114,370123,436595,254120,182475,686524,21473,2132,606,86,1653,81338,1290,147388,60325,207713,113208,115716,93450,58536,42743,31646,35107,29828,976.0,58.0
Madhya Pradesh,Ashoknagar,24.63098846153845,77.82974493927134,459,845071,443837,401234,469109,290304,178805,778214,40707,635,8009,1352,15094,84720,619,169606,37135,206741,148647,117053,62802,51499,29551,22791,87957,26227,904.0,56.0
Madhya Pradesh,Balaghat,21.80020720640569,80.42170053380796,457,1701698,842178,859520,1147623,626468,521155,1519384,38542,5295,1050,72162,4778,277927,1712,400074,70793,470867,290699,312640,235251,168635,126308,74213,178778,73522,1021.0,67.0
Madhya Pradesh,Barwani,21.702135714285724,74.91004719710673,441,1385881,699340,686541,549926,313642,236284,1318869,58222,2967,2361,416,2289,181139,1158,250358,48912,299270,157337,137116,74067,59100,42649,30754,95231,45979,982.0,40.0
Madhya Pradesh,Betul,21.964626315789477,77.7873428189117,447,1575362,799236,776126,939769,529783,409986,1505745,37590,3271,1078,9651,3759,230974,2109,318945,87704,406649,239114,232532,176325,140402,105696,82761,184872,81190,971.0,60.0
Madhya Pradesh,Bhind,26.35951126187245,78.7618324287653,420,1703005,926843,776162,1094917,676513,418404,1595400,66776,973,4047,12215,19950,107819,1166,271211,88385,359596,202629,261162,199044,140743,96011,50222,181907,68734,837.0,64.0
Madhya Pradesh,Bhopal,23.480726143790854,77.39246623093679,444,2371061,1236130,1134931,1660690,920314,740376,1755861,525434,23432,10789,21688,25950,452912,40788,118893,581826,700719,229082,303171,287198,211371,178165,266618,420371,352351,918.0,70.0
Madhya Pradesh,Burhanpur,21.364567254408065,76.24460478589425,467,757847,388504,369343,408679,233073,175606,552526,180840,1199,1074,19883,1884,112420,986,115979,62861,178840,107547,119468,69765,57058,42618,28237,110403,50613,951.0,54.0
Madhya Pradesh,Chhatarpur,24.813637376460004,79.56449299191374,425,1762375,936121,826254,943033,572010,371023,1676918,70351,1980,968,250,10409,176056,1880,375869,95048,470917,270951,236054,160310,112961,77787,59704,120424,56851,883.0,54.0
Madhya Pradesh,Chhindwara,22.227966971713823,78.76413136439254,455,2090922,1064468,1026454,1294198,731294,562904,1923920,100692,4893,2258,24471,7830,344875,3588,413142,140802,553944,284113,336391,225747,215098,167946,112383,245014,111901,964.0,62.0
Madhya Pradesh,Damoh,23.76624407960196,79.47049303482588,428,1264219,661873,602346,747715,445737,301978,1186420,47966,1681,1096,119,25005,187731,1432,303387,66514,369901,197917,217296,150040,95032,64414,41158,90156,43355,910.0,59.0
Madhya Pradesh,Datia,25.90226439560441,78.63916571428574,422,786754,420157,366597,491445,303815,187630,747693,28483,683,490,7923,453,97696,616,160453,43401,203854,132176,131372,88949,73398,48978,34853,90102,35209,873.0,62.0
Madhya Pradesh,Dewas,22.7851110021322,76.46088805970157,437,1563715,805359,758356,925369,550716,374653,1376591,174259,2355,2330,382,6497,270457,3518,274995,101014,376009,242508,225380,149522,125772,94403,55383,193157,112895,942.0,59.0
